t;x
1940-01;244.788.655.701.876
1940-02;18.276.633.711.386
1940-03;558.125.030.317.844
1940-04;986.749.321.097.886
1940-05;376.684.909.025.926
1940-06;351.602.271.336.856
1940-07;-48.554.289.048.088
1940-08;442.651.302.039.404
1940-09;190.061.409.158.346
1940-10;73.996.528.775.122
1940-11;154.210.433.633.339
1940-12;559.661.020.509
1941-01;862.481.078.803.922
1941-02;384.531.931.217.743
1941-03;19.787.410.414.903
1941-04;504.701.497.712.947
1941-05;565.251.697.272.718
1941-06;755.010.175.371.307
1941-07;-325.802.177.257.195
1941-08;326.553.104.864.317
1941-09;347.501.314.193.397
1941-10;463.840.407.233.018
1941-11;-100.202.820.328.404
1941-12;556.246.480.255.902
1942-01;937.282.660.747.491
1942-02;817.159.021.944.587
1942-03;156.900.546.371.145
1942-04;-671.335.636.248.565
1942-05;578.029.867.705.788
1942-06;68.032.674.922.189
1942-07;-272.509.345.925.678
1942-08;772.157.722.425.851
1942-09;24.205.367.610.852
1942-10;515.090.321.881.977
1942-11;-45.860.067.923.352
1942-12;365.899.418.281.387
1943-01;26.167.275.408.189
1943-02;336.073.304.384.083
1943-03;159.354.281.227.382
1943-04;906.322.318.746.148
1943-05;606.121.630.092.362
1943-06;583.625.904.523.991
1943-07;-335.973.609.454.219
1943-08;191.827.854.735.542
1943-09;605.282.621.495.774
1943-10;585.662.639.597.166
1943-11;236.206.825.112.591
1943-12;339.181.840.911.316
1944-01;629.299.216.164.258
1944-02;898.000.338.671.058
1944-03;140.027.285.133.172
1944-04;-412.245.001.304.562
1944-05;681.227.320.585.454
1944-06;767.947.524.543.091
1944-07;-397.366.832.446.568
1944-08;31.757.487.600.397
1944-09;34.725.817.927.885
1944-10;179.917.979.790.505
1944-11;-312.560.916.258.699
1944-12;342.234.376.239.229
1945-01;180.451.985.577.522
1945-02;637.116.805.244.589
1945-03;0.158433333473337
1945-04;159.765.195.824.402
1945-05;36.753.054.577.717
1945-06;864.919.903.486.394
1945-07;773.997.413.063.677
1945-08;221.095.993.888.571
1945-09;136.029.860.419.615
1945-10;380.766.786.218.409
1945-11;571.746.069.311.111
1945-12;100.279.951.170.174
1946-01;120.919.079.015.017
1946-02;404.329.360.615.697
1946-03;131.198.798.415.035
1946-04;949.306.062.054.753
1946-05;585.224.052.728.572
1946-06;930.591.197.476.938
1946-07;-308.827.344.495.243
1946-08;-34.005.838.658.333
1946-09;-112.464.884.558.668
1946-10;474.954.859.002.519
1946-11;-352.127.545.847.719
1946-12;185.977.981.858.994
1947-01;-158.732.437.163.755
1947-02;613.814.877.397.166
1947-03;-355.973.731.913.911
1947-04;-574.351.865.540.025
1947-05;487.069.436.523.229
1947-06;856.440.384.623.674
1947-07;-4.907.324.588.295
1947-08;315.859.337.279.757
1947-09;-243.881.339.411.613
1947-10;432.752.804.631.896
1947-11;834.899.778.577.892
1947-12;437.520.549.815.634
1948-01;590.352.553.195.659
1948-02;810.973.248.417.181
1948-03;-694.134.183.629.415
1948-04;476.257.989.597.481
1948-05;551.796.798.252.739
1948-06;724.373.164.759.514
1948-07;-552.155.965.222.157
1948-08;162.849.237.549.284
1948-09;436.881.033.929.132
1948-10;570.172.411.064.275
1948-11;261.521.882.249.916
1948-12;263.216.833.595.889
1949-01;-145.608.813.756.205
1949-02;94.003.441.013.359
1949-03;-207.992.571.288.436
1949-04;72.674.003.624.868
1949-05;451.260.899.513.647
1949-06;689.024.366.520.725
1949-07;-747.487.313.116.839
1949-08;455.817.324.220.389
1949-09;213.861.373.895.904
1949-10;106.916.353.700.895
1949-11;830.305.886.978.181
1949-12;131.638.691.181.665
1950-01;466.765.697.668.262
1950-02;146.481.703.055.677
1950-03;-78.168.345.723.921
1950-04;692.845.790.859.065
1950-05;281.054.818.951.596
1950-06;976.266.237.273.678
1950-07;-400.084.618.742.169
1950-08;617.299.436.239.718
1950-09;697.893.459.455.761
1950-10;854.892.779.537.332
1950-11;290.801.910.565.515
1950-12;645.195.047.294.928
1951-01;245.396.047.707.255
1951-02;158.579.181.369.462
1951-03;-627.750.077.686.859
1951-04;853.359.387.340.283
1951-05;791.738.154.977.552
1951-06;91.265.159.654.949
1951-07;-200.327.825.606.949
1951-08;571.461.735.828.505
1951-09;348.561.167.259.377
1951-10;931.562.645.985.543
1951-11;14.630.158.340.653
1951-12;109.175.677.028.429
1952-01;186.191.020.898.393
1952-02;167.118.318.709.738
1952-03;-589.229.986.209.323
1952-04;94.796.311.444.663
1952-05;105.773.770.717.628
1952-06;997.296.469.874.115
1952-07;-443.804.961.781.789
1952-08;950.957.532.774.759
1952-09;459.694.052.683.055
1952-10;151.432.858.741.128
1952-11;207.930.771.234.955
1952-12;36.918.047.990.827
1953-01;449.378.437.314.463
1953-02;183.078.858.428.519
1953-03;-480.213.860.155.067
1953-04;779.796.975.414.785
1953-05;116.796.776.037.222
1953-06;112.307.596.776.003
1953-07;-42.055.700.280.395
1953-08;606.530.858.910.431
1953-09;580.269.896.444.856
1953-10;12.882.609.621.121
1953-11;811.019.409.840.007
1953-12;676.875.926.377.096
1954-01;651.850.554.566.721
1954-02;201.967.465.444.718
1954-03;-52.549.463.037.265
1954-04;106.806.016.837.452
1954-05;1.389.172.920.519
1954-06;811.271.075.307.247
1954-07;-301.948.055.153.865
1954-08;124.441.540.502.724
1954-09;728.476.113.013.671
1954-10;955.975.431.370.317
1954-11;502.171.017.923.015
1954-12;66.396.236.877.734
1955-01;77.645.061.641.875
1955-02;233.297.579.223.007
1955-03;-832.842.100.845.375
1955-04;128.664.007.616.489
1955-05;98.776.480.072.612
